South_Ferry Rector_Street
155th_Street 163rd_Street–Amsterdam_Avenue
163rd_Street–Amsterdam_Avenue 168_Street
Coney_Island–Stillwell_Avenue Bay_50th_Street
Bay_50th_Street 25th_Avenue
25th_Avenue Bay_Parkway
Bay_Parkway 20th_Avenue
20th_Avenue 18th_Avenue
18th_Avenue 79th_Street
79th_Street 71st_Street
71st_Street 62nd_Street
62nd_Street 55th_Street
55th_Street 50th_Street
50th_Street Fort_Hamilton_Parkway
Fort_Hamilton_Parkway 9th_Avenue
9th_Avenue 36th_Street
36th_Street Atlantic_Avenue–Barclays_Center
Atlantic_Avenue–Barclays_Center Grand_Street
Grand_Street Broadway–Lafayette_Street
Broadway–Lafayette_Street West_4th_Street–Washington_Square
West_4th_Street–Washington_Square 34th_Street–Herald_Square
34th_Street–Herald_Square 5th_Avenue
5th_Avenue 47th–50th_Streets–Rockefeller_Center
47th–50th_Streets–Rockefeller_Center 7th_Avenue
7th_Avenue 59th_Street–Columbus_Circle
59th_Street–Columbus_Circle 125th_Street
125th_Street 145th_Street
145th_Street 155th_Street
155th_Street 161st_Street–Yankee_Stadium
161st_Street–Yankee_Stadium 167th_Street
167th_Street 170th_Street
170th_Street 174th–175th_Streets
174th–175th_Streets Tremont_Avenue
Tremont_Avenue 182nd–183rd_Streets
182nd–183rd_Streets Fordham_Road
Fordham_Road Kingsbridge_Road
Kingsbridge_Road Bedford_Park_Boulevard
World_Trade_Center Canal_Street
Canal_Street Spring_Street
Spring_Street West_4th_Street–Washington_Square
West_4th_Street–Washington_Square 14th_Street–8th_Avenue
14th_Street–8th_Avenue 23rd_Street
23rd_Street 34th_Street–Penn_Station
34th_Street–Penn_Station 42nd_Street–Times_Square
42nd_Street–Times_Square 50th_Street
50th_Street 7th_Avenue
7th_Avenue 53rd_Street–5th_Avenue
53rd_Street–5th_Avenue 53rd_Street–Lexington_Avenue
53rd_Street–Lexington_Avenue Court_Square–23rd_Street
Court_Square–23rd_Street Queens_Plaza
Queens_Plaza 74th_Street–Broadway
74th_Street–Broadway Forest_Hills–71st_Avenue
Forest_Hills–71st_Avenue 75th_Avenue
75th_Avenue Kew_Gardens–Union_Turnpike
Kew_Gardens–Union_Turnpike Briarwood–Van_Wyck_Boulevard
Briarwood–Van_Wyck_Boulevard Jamaica–Van_Wyck
Jamaica–Van_Wyck Sutphin_Boulevard–Archer_Avenue–JFK_Airport
Sutphin_Boulevard–Archer_Avenue–JFK_Airport Jamaica_Center–Parsons/Archer
Coney_Island–Stillwell_Avenue West_8th_Street–New_York_Aquarium
West_8th_Street–New_York_Aquarium Neptune_Avenue
Neptune_Avenue Avenue_X
Avenue_X Avenue_U
Avenue_U Kings_Highway
Kings_Highway Avenue_P
Avenue_P Avenue_N
Avenue_N Bay_Parkway
Bay_Parkway Avenue_I
Avenue_I 18th_Avenue
18th_Avenue Ditmas_Avenue
Ditmas_Avenue Church_Avenue
